Summary,Issue Type,Priority,Epic Name,Epic Link,Sprint,Story Points,Labels,Description
"Medicine Database & Dataset",Epic,Highest,Medicine Database & Dataset,,,,medicine-data,"Acquire, clean, and load a comprehensive Indian medicine dataset into the medicines table. Build search APIs and maintain data quality."
"Admin Panel - Core Infrastructure",Epic,Highest,Admin Panel - Core Infrastructure,,,,admin,"Build the foundational admin panel: role enforcement, dashboard, audit logging, and admin layout components."
"Admin Panel - Medicine Management",Epic,High,Admin Panel - Medicine Management,,,,admin,"Admin CRUD interface for managing the medicine database: add, edit, delete, bulk import/export."
"Admin Panel - User Management",Epic,High,Admin Panel - User Management,,,,admin,"Admin interface for managing users: list, activate/deactivate, role changes, bulk export."
"Admin Panel - Doctor Verification",Epic,High,Admin Panel - Doctor Verification,,,,admin,"Doctor verification workflow: review queue, approve/reject, document upload, suspension."
"Prescription Enhancement",Epic,High,Prescription Enhancement,,,,prescriptions,"Enhance prescription creation with medicine autocomplete, interaction warnings, PDF generation, and templates."
"Patient Portal Enhancement",Epic,Medium,Patient Portal Enhancement,,,,patient,"Improve patient experience: profile editing, document upload, vitals tracking, health history."
"Doctor Portal Enhancement",Epic,Medium,Doctor Portal Enhancement,,,,doctor,"Improve doctor experience: patient search, appointment management, analytics, clinical templates."
"ABDM Integration",Epic,Medium,ABDM Integration,,,,abdm,"Integrate with Ayushman Bharat Digital Mission: ABHA ID, HIP/HIU modules, consent management."
"AI & Intelligence Features",Epic,Medium,AI & Intelligence Features,,,,ai,"AI-powered features: record summarization, OCR, semantic search, lab report interpretation."
"Multi-language & Localization",Epic,Low,Multi-language & Localization,,,,i18n,"Implement multi-language support: i18n framework, Hindi translations, prescription translation."
"Notifications & Communication",Epic,Medium,Notifications & Communication,,,,notifications,"Email, SMS, WhatsApp, push, and in-app notification systems."
"Security & Compliance",Epic,High,Security & Compliance,,,,security,"Harden security: encryption, rate limiting, 2FA, data retention, compliance dashboard."
"Testing & Quality",Epic,Highest,Testing & Quality,,,,testing,"Comprehensive testing: unit, integration, E2E, load testing, CI/CD pipeline."
"Infrastructure & DevOps",Epic,High,Infrastructure & DevOps,,,,devops,"Production infrastructure: staging environment, monitoring, backups, object storage, caching."
"Analytics & Reporting",Epic,Low,Analytics & Reporting,,,,analytics,"Admin analytics, doctor performance reports, patient health reports, usage metrics."
"Research and acquire comprehensive Indian medicine dataset (50,000+ medicines with brand names, salts, manufacturers, dosage forms, strengths, MRP)",Story,Highest,,Medicine Database & Dataset,Sprint 1,8,medicine-data,"Find and acquire a reliable Indian medicine dataset. Sources to explore: CDSCO drug database, 1mg/PharmEasy public data, Indian Pharmacopoeia. Target: 50,000+ medicines with fields: brand_name, salt_composition, manufacturer, dosage_form, strength, mrp, therapeutic_class, schedule."
"Source drug interaction data from pharmacological database (DrugBank, OpenFDA, or CDSCO)",Story,High,,Medicine Database & Dataset,Sprint 1,5,medicine-data,"Identify and acquire drug-drug interaction data. Map interactions to medicine pairs in our database. Store in medicines.interactions JSONB field."
"Source alternative/generic medicine mappings for each branded drug",Story,High,,Medicine Database & Dataset,Sprint 1,5,medicine-data,"Build a mapping of branded medicines to their generic equivalents and alternative brands with the same salt composition. Store in medicines.alternatives JSONB field."
"Create data ingestion pipeline to parse, clean, and load raw medicine dataset into medicines table",Story,Highest,,Medicine Database & Dataset,Sprint 1,8,medicine-data,"Build a Python script (backend/scripts/import_medicines.py) that reads CSV/JSON medicine data, validates fields, deduplicates, and bulk-inserts into the medicines table using SQLAlchemy."
"Add therapeutic class categorization to every medicine entry",Story,Medium,,Medicine Database & Dataset,Sprint 1,3,medicine-data,"Categorize all medicines by therapeutic class (Analgesic, Antibiotic, Antidiabetic, Antihypertensive, etc.). Add validation for allowed categories."
"Add controlled substance schedule classification per Indian drug regulations (Schedule H, H1, X)",Story,Medium,,Medicine Database & Dataset,Sprint 1,3,medicine-data,"Classify medicines by their drug schedule as per Indian Drugs and Cosmetics Act. Populate the medicines.schedule field."
"Populate dosage_form field with standardized values (Tablet, Capsule, Syrup, Injection, etc.)",Story,Medium,,Medicine Database & Dataset,Sprint 1,2,medicine-data,"Standardize dosage_form values across all medicines. Create an enum of allowed values: Tablet, Capsule, Syrup, Injection, Cream, Ointment, Drops, Inhaler, Powder, Gel, Suppository, Patch, Solution."
"Create medicine search API endpoint (GET /api/v1/medicines/search) with full-text search",Story,Highest,,Medicine Database & Dataset,Sprint 2,5,medicine-data,"Build API endpoint that searches medicines by brand_name and salt_composition. Support query parameter 'q', pagination with cursor, filter by therapeutic_class and dosage_form. Use PostgreSQL full-text search (tsvector/tsquery)."
"Add pgvector embeddings for semantic medicine search",Story,Low,,Medicine Database & Dataset,Sprint 6,8,medicine-data ai,"Generate vector embeddings for medicine descriptions using an embedding model. Enable semantic search (e.g., searching 'painkiller' returns Paracetamol, Ibuprofen). Leverage existing pgvector extension."
"Build medicine autocomplete API endpoint for prescription forms",Story,Highest,,Medicine Database & Dataset,Sprint 2,5,medicine-data,"Create GET /api/v1/medicines/autocomplete?q=para&limit=10 endpoint. Return top matches with id, brand_name, salt_composition, strength, dosage_form. Optimize for <100ms response time with proper indexing."
"Create scheduled job to update medicine dataset periodically (new drugs, NPPA price updates)",Story,Low,,Medicine Database & Dataset,Sprint 8,5,medicine-data,"Build a periodic update mechanism (cron job or Celery task) to fetch updated medicine data from NPPA/CDSCO and merge into existing database without duplicates."
"Write Alembic migration to add search indexes on medicines table",Task,Highest,,Medicine Database & Dataset,Sprint 1,2,medicine-data,"Add indexes: GIN index on brand_name and salt_composition for full-text search, B-tree index on therapeutic_class, composite unique constraint on (brand_name, strength, manufacturer)."
"Add data validation rules to prevent duplicate medicines",Task,High,,Medicine Database & Dataset,Sprint 1,2,medicine-data,"Add unique constraint on (brand_name, strength, manufacturer). Add validation in the ingestion pipeline to skip or merge duplicates."
"Create medicine detail API endpoint (GET /api/v1/medicines/{id})",Story,High,,Medicine Database & Dataset,Sprint 2,3,medicine-data,"Return full medicine details including alternatives array and interactions array. Include related medicines (same salt composition) in response."
"Add medicine barcode/QR code lookup support",Story,Low,,Medicine Database & Dataset,Sprint 10,5,medicine-data,"Support scanning medicine packaging barcodes to look up medicine details. Requires barcode-to-medicine mapping data source."
"Create admin role enforcement - require_admin() dependency with 403 responses",Story,Highest,,Admin Panel - Core Infrastructure,Sprint 2,3,admin,"Add require_admin() dependency in backend/app/dependencies.py. Check user.role == 'admin'. Return 403 Forbidden with proper error response if not admin."
"Build admin API router (/api/v1/admin/) with admin-only middleware",Story,Highest,,Admin Panel - Core Infrastructure,Sprint 2,3,admin,"Create backend/app/routers/admin.py with APIRouter prefix='/api/v1/admin'. Apply require_admin dependency to all routes. Register in main.py."
